stadium_name,stadium_location,stadium_type,stadium_address,stadium_weather_type,stadium_surface,stadium_latitude,stadium_longitude,stadium_elevation
Twickenham Stadium,"London, UK",outdoor,"200 Whitton Road, TW2 7BA, London, UK",moderate,,51.456111,-0.341667,
U.S. Bank Stadium,"Minneapolis, MN",indoor,"401 Chicago Ave, Minneapolis, MN 55415",indoor,FieldTurf,44.973889,-93.258056,
University of Phoenix Stadium,"Glendale, AZ",retractable,"1 Cardinals Dr, Glendale, AZ 85305",indoor,Grass,33.4552,-111.9316,375.2
Vanderbilt Stadium,"Nashville, TN",outdoor,"Nashville, TN 37203",moderate,,36.11889,-86.68917,182.9
Veterans Stadium,"Philadelphia, PA",outdoor,"3501 South Broad Street, Philadelphia, Pennsylvania 19148",cold,,39.906667,-75.171111,3
War Memorial Stadium,"Buffalo, NY",outdoor,"285 Dodge Street, Buffalo, NY 14208",cold,,42.905,-78.856,
Wembley Stadium,"London, UK",outdoor,"Wembley, London HA9 0WS, United Kingdom",moderate,,51.555833,-0.279722,
Wrigley Field,"Chicago, IL",outdoor,"1060 West Addison Street, Chicago, IL 60613",cold,,41.948056,-87.655556,
Yale Bowl,"New Haven, CT",outdoor,"276 Derby Ave, West Haven, CT 06516",cold,Grass,41.313,-72.96,
Yankee Stadium,"Bronx, NY",outdoor,1 East 161st Street,cold,,40.829167,-73.926389,
